2026-04-01 13:50:39 | INFO     |   92 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 13:51:15 | INFO     |   92 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 13:51:50 | INFO     |   92 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 13:55:47 | INFO     |   90 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 13:57:38 | INFO     |   95 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 13:58:40 | INFO     |   95 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 13:59:16 | INFO     |   92 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 13:59:42 | INFO     |   48 | main.py | - | lifespan | 🛑 Остановка сервиса...[0m
2026-04-01 13:59:42 | INFO     |  332 | database.py | - | close_all | Все sync-подключения закрыты[0m
2026-04-01 13:59:44 | INFO     |   92 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 14:00:43 | INFO     |   92 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 14:05:42 | INFO     |   46 | main.py | - | lifespan | 🛑 Остановка сервиса...[0m
2026-04-01 14:05:42 | INFO     |  332 | database.py | - | close_all | Все sync-подключения закрыты[0m
2026-04-01 14:07:28 | INFO     |   96 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 14:09:46 | INFO     |   47 | main.py | - | lifespan | 🛑 Остановка сервиса...[0m
2026-04-01 14:09:46 | INFO     |  332 | database.py | - | close_all | Все sync-подключения закрыты[0m
2026-04-01 14:09:50 | INFO     |   96 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 14:10:28 | INFO     |   96 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 14:11:51 | INFO     |   47 | main.py | - | lifespan | 🛑 Остановка сервиса...[0m
2026-04-01 14:11:51 | INFO     |  332 | database.py | - | close_all | Все sync-подключения закрыты[0m
2026-04-01 14:11:53 | INFO     |   95 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 14:19:02 | INFO     |   95 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
2026-04-01 14:19:06 | INFO     |   95 | api.py | - | include_app_routers | ✅ Подключены приложения: systems→/api/v1/systems[0m
